date,page,title,tenure,location,salary,industry,education,prior_experience,signing_bonus,stock_or_bonus,total_comp,extra_col,tenure_clean,location_clean,salary_pre_clean,salary_clean,salary_currency,FX,salary_usd
2020,1,data scientist,~1 year,nyc,"$100,000",pe/vc,ms,"4 internships - 3 as a ds, plus research projects in the same industry. no full time experience.","$5,000 signing bonus",15-25% annual bonus,"$105,000",,1.0,"new york, us","$100,000",100000.0,USD,1.0,100000.0
2020,1,crm analyst,2 years.,ireland.,"€48,000.",retail - fashion.,"bsc maths, msc computer science.",1 year experience as a data science consultant for big 4 accounting firm.,n/a.,10%.,~€53k.,primary tools: python & sql.,2.0,ireland,"€48,000.",48000.0,EUR,0.9760858955588092,49176.0
2020,1,principal data scientist,6 months,sf bay,"185,000",software startup,phd,"7 years academia, 2 years product mangement","10,000","180,000","375,000",,0.5,"bay area, us","185,000",185000.0,USD,1.0,185000.0
2020,1,senior engineering lead,8years,usa/canada,$155k,oil and gas,bachelors in engineering,4 years,n/a,$70k,"$225,000",,8.0,canada,$155k,155000.0,USD,1.0,155000.0
2020,1,data scientist,1.5 years,kansas city metro,"$89,300",large tech company,ms applied statistics,6 years data analyst,n/a,1.5% annual,"$90,673",,1.5,"kansas, us","$89,300",89300.0,USD,1.0,89300.0
2020,1,staff data scientist,2 years,d.c. metro,"$120,000",defense,m.s in geoinformatics; working on phd,"2.5 years data science, 3 years data analyst",$0,stock/recurring bonus: $0,"$120,000",,2.0,"washington dc, us","$120,000",120000.0,USD,1.0,120000.0
2020,1,modeling analyst,6mo,dc,"$70,000",insurance,bs in management  from a top undergrad business school,,--,"$2,500 at 6mo mark","$72,500",,0.5,"washington dc, us","$70,000",70000.0,USD,1.0,70000.0
2020,1,senior data engineer,6 months,remote/west coast,"$140,000",consulting,ms/mba - ivy league,5+ years software/bi engineering,"stock and/or recurring bonuses: $20,000","total comp: $160,000",,,0.5,"west coast, us","$140,000",140000.0,USD,1.0,140000.0
2020,1,associate finance manager data science,11 months,new jersey,"93,000",cpg/financial planning & analysis,ms in data science,"3 - 4 years in data analyst role.  creating reports, manipulate data, some exposure to sql in work.","6,000","no stocks, bonuses are still being computed","~ 100,000",,0.9166666666666666,"new jersey, us","93,000",93000.0,USD,1.0,93000.0
2020,1,data scientist intern,1 year,brussels,1400,small pharmaceutical,master,,0,0,0,,1.0,us,1400,,USD,1.0,
2020,1,insights consultant,2 years,new jersey. united states of america.,"$150,000 + ~7% bonus",market research,masters,~12 years,none,none,"$160,000",,2.0,"new jersey, us","$150,000 + ~7% bonus",150000.0,USD,1.0,150000.0
2020,1,lead data scientist,3 yrs,chicago,"120,000",small consultancy,"ba, ma",2 years in related field,n/a,n/a,"120,000",,3.0,"chicago, us","120,000",120000.0,USD,1.0,120000.0
2020,1,data scientist, ~ 6 months,"cambridge, ma","$118,000",company /  tech start up,ba from an lac in math,~ 6 months,reloc bonus: $2k,signing bonus: $0,total: $120k + options,,0.5,uk,"$118,000",118000.0,USD,1.0,118000.0
2020,1,data scientist,"almost 2 years in this position, 1 year as a data analyst at a previous company",nyc,110k,company/  content,masters,boot camp and 1yr as a data analyst,,,,,,"new york, us",110k,110000.0,USD,1.0,110000.0
2020,1,machine learning engineer,1 year,"minsk, belarus",33k,e-commerce,ms in applied maths,2.5y,-,-,33k,,1.0,us,33k,33000.0,USD,1.0,33000.0
2020,1,senior quantitative modeling analyst,2 years,dc,"$125,000",banking,bs in computer science,5 years at another company as a junior qa,"$5,000 signing bonus my first year","$25,000 performance bonus","$150,000",,2.0,"washington dc, us","$125,000",125000.0,USD,1.0,125000.0
2020,1,senior principal data scientist,2.5 years,upper midwest,"$160,000",healthcare,msc in palaeoeconomics,6 years of ai/ml healthcare experience prior to current role,none,$25k yearly bonus and discounted stock purchase,"$185,000 + cheap stock",,2.5,"midwest, us","$160,000",160000.0,USD,1.0,160000.0
2020,1,data analyst,2yrs,denver,"$67,000",travel,bachelors,2yrs of analytics,stock and/or recurring bonuses: 5% bonus,"total comp: $70,000",,,2.0,"denver, us","$67,000",67000.0,USD,1.0,67000.0
2020,1,data scientist,< 6 months,germany,55k€,e-commerce,msc information system,3 internships,0,0,paid vacation: 30 days,total comp: 55k€,0.5,germany,55k€,55000.0,EUR,0.9760858955588092,56347.5
2019,1,machine learning engineer,1year,seattle,$295k,saas,ms,"~15yrs, several faang-ish companies",$75k,"$75k bonus, $270k rsu's per year",$640k,,1.0,"seattle, us",$295k,295000.0,USD,1.0,295000.0
2019,1,manager data analytics science,1yr,pennsylvania lcol area,"$160,000",utility,bs risk analytics | ms data science,9 yrs in various analytical roles  for federal government.,stock: ~$20k-50k,recurring bonuses: ~$20k-50k,~$200k-260k,,1.0,"pennsylvania, us","$160,000",160000.0,USD,1.0,160000.0
2019,1,data engineer,1.5 years,down under,$119k,media,bachelors,2 years of risk analyst/data analyst,stock and/or recurring bonuses: 10% target bonus + share scheme,total comp: ~133k,,,1.5,down under,$119k,119000.0,USD,1.0,119000.0
2019,1,data analyst,1.5 yeaers,atlanta,$60k,the home depot/retail,"bs: accounting, graduate 2020",5 months as a pricing analyst at a real estate company,5% of salary,6% company match if i recall correctly,$63k,,1.5,"atlanta, us",$60k,60000.0,USD,1.0,60000.0
2019,1,marketing manager,2 years,socal,$128k,healthcare,"bs, business","10 years, marketing analysis",$5k,10%,$140.8k,,2.0,"socal, us",$128k,128000.0,USD,1.0,128000.0
2019,1,data analyst,10 months,germany,"$64,5k",medtech,econ phd,prior experience,na,$5.5k **,~$70k,,0.8333333333333334,germany,"$64,5k",64500.0,USD,1.0,64500.0
2019,1,data analyst,start date set in september,nj,"$84,000",consumer packaged goods,2 b.s. data science & applied statistics,,$5k signing bonus,8% eoy target bonus,$95k,,,"new jersey, us","$84,000",84000.0,USD,1.0,84000.0
2021,2,senior data scientist lead,8 years,st louis,"$137,500",large corporation in biotech/agrotech,phd,joined current employer directly out of grad school,full relocation costs + $5500,,"$183,000",,8.0,"st louis, us","$137,500",137500.0,USD,1.0,137500.0
2021,2,data scientist,"4 month internship, 4 months current role","vancouver, bc",$90k,mid-size non tech,"phd, physics",2 years various part-time and contract ds/da work,none,"~10% profit sharing, ~10% performance bonus",~$108k,,0.3333333333333333,canada,$90k,90000.0,USD,1.0,90000.0
2021,2,senior staff data scientist,3 years.,"was in the bay area, now fully remote in a mcol area","$240,000","tech, not faang","ms in mathematics, dropped out of a phd program after masters","13 years, pretty much all of it in the data / ml space.",0,"30% of my base salary as cash bonus, which translates to $72k, and ~$570k per year based on current valuation of stock.",~$882k per year,,3.0,"bay area, us","$240,000",240000.0,USD,1.0,240000.0
2021,2,data scientist,just accepted,illinois,"100k, 14% bonus",caterpillar,"marketing undergrad, mba, self taught analytics and stats",,,,,,,"illinois, us",100k,100000.0,USD,1.0,100000.0
2021,2,graduate trainee data scientist,2 months,"buckinghamshire , uk","£27,000",waste management,bsc applied mathematics,none,"total comp: £27,000",,,,0.16666666666666666,uk,"£27,000",27000.0,GBP,0.8326305514885309,32427.347221082495
2021,2,head of machine learning,< 1 year,germany,"$120,000",startup,phd,"2 years ds, 2 years lead ds",no,"$20,000 yearly bonus","$140,000",,1.0,germany,"$120,000",120000.0,USD,1.0,120000.0
2021,2,process data scientist,7 months,sf bay area,$150k,semiconductors,cheme phd,brief stint as a postdoc + 3.5 years as che,0,rsu comes out to ~20k/year and bonus is set to 20%,$200k,,0.5833333333333334,"bay area, us",$150k,150000.0,USD,1.0,150000.0
2021,2,decision scientist,8 months,office  denver,"$100,000",late stage tech startup,ma economics,"7.5 years at a marketing agency, 5 as qa/swe, 2.5 as data scientist",none,,"~$130,000",,0.6666666666666666,"denver, us","$100,000",100000.0,USD,1.0,100000.0
2021,2,ai engineer,3 months,"london, uk","£50,000",consulting,"msc software development, beng mechanical engineering",2 yoe machine learning engineer,"total comp: £50,000",,,,0.25,"london, uk","£50,000",50000.0,GBP,0.8326305514885309,60050.643002004625
2021,2,data scientist soon to be machine learning engineer,1 year,,"$80,000 -> tbd",health tech startup,"bs computational data science, minor in statistics",2.5 yoe,n/a,< 0.4% amounting to $7000,,,1.0,,"$80,000 -> tbd",80000.0,USD,1.0,80000.0
2021,2,senior product analyst,3.5 years,"bay area, ca",$180k,youtube,level: l5,education: phd,prior experience: at a faang for 4.5 years,stock: $160k granted/$300k vested,annual bonus: $30k,total comp: $370k,3.5,"bay area, us",$180k,180000.0,USD,1.0,180000.0
2021,2,data science manager,> 5 years,hcol,~250k,large public tech company,"phd, math",minimal,total comp: $1.05mm,,,,5.0,,~250k,250000.0,USD,1.0,250000.0
2021,2,senior data analyst,5 mo. 4.5 yrs total,company: pnw. me: ohio,110k,sas saas startup,bachelors in mathematics,da/bi/ds entry to managerial,n/a,stock. begins vesting after 1 year,110k,,0.45,"ohio, us",110k,110000.0,USD,1.0,110000.0
2021,2,senior data scientist, 3 years,"london, uk but fully remote","$92,000 approximately",logistics,bsc mathematics,6 years as a data analyst,bonus: upto 18% depending on company performance,,,,3.0,"london, uk","$92,000 approximately",92000.0,USD,1.0,92000.0
2021,2,incoming data analyst developer,"4 month internship / training, then na",fully remote,$75k,accounting / tax consulting,finishing msc,na,relocation / signing bonus: none,"bonuses depending on client…not sure, haven’t started yet",at least $75k,,0.3333333333333333,remote,$75k,75000.0,USD,1.0,75000.0
2021,2,director of data science,1 year,minnesota,"$185,000",health/wellness,phd,2 years ds manager,stock and/or recurring bonuses:,"total comp: ~$200,000.",,,1.0,"minnesota, us","$185,000",185000.0,USD,1.0,185000.0
2021,2,data analyst, starting shortly,"florida, usa","$125,000",finance/investment,bs/ms in industrial engineering,8 month internship as industrial engineer,"signing bonus: $10,000","stock/bonus: $10,000 in equity, eligible for annual bonus","$135,000 - $145,000",,,"florida, us","$125,000",125000.0,USD,1.0,125000.0
2021,2,data scientist, ~2y,bay area,$160k,faang,bs+ms,,$25k,"~$190k/yr stock after appreciation, ~20% annual bonus",~$390k,,2.0,"bay area, us",$160k,160000.0,USD,1.0,160000.0
2021,2,data scientist,< 1 year,lcol,$120k,big n,"stem undergrad, analytics masters","1 year ds, 3 years da",$coop: none,relocation/signing bonus: $5k,,,1.0,,$120k,120000.0,USD,1.0,120000.0
2021,2,quantitative modeling data science,4ish years,pittsburgh pa,$115k,finance / banking,ms applied math,engineering in steel and ds in healthcare,n/a,yes,,,4.0,"pittsburgh, us",$115k,115000.0,USD,1.0,115000.0
2021,2,senior machine learning engineer, 1 year,"office in sf, i work remote",200k,"company: publicly traded tech, probably a tier below faang",ms statistics,7 years exp in various ds and da roles,"stock: 10% yearly bonus, 100k equity per year, although stock performance isn't great these days",tc: 320k,,,1.0,"bay area, us",200k,200000.0,USD,1.0,200000.0
2021,2,senior data scientist,< 1 year at this position. held 3 ds positions at 3 companies in 2 years.,nyc / remote,205k,tech,ba poli sci,"4 years data analyst, 2 years ds",stock and/or recurring bonuses: $297k rsus  yearly,total comp: $502k,,,1.0,"new york, us",205k,205000.0,USD,1.0,205000.0
2021,2,lead data scientist,1.5 years,"são paulo, brazil",$55k usd,tech/o&g/mining/iot/other pre-ipo spinoff .,"bs geological engineering, ms mechanical engineering",2.5 years as a ds in oil exploration between startups and a f500 o&g company.,"stock and/or recurring bonuses: no idea, i have equity but the company is less than a year old*.",,,,1.5,brazil,$55k usd,55000.0,USD,1.0,55000.0
2021,2,analytics engineering manager,"1 year current role; 6 prior years along data analyst track, ending at sr data analyst","pacific northwest, usa",$150k,saas,bs economics; ba int’l studies,4 years customer success,none,15% bonus; ~$70k annual rsus.,~$240k,,1.0,"northwest, us",$150k,150000.0,USD,1.0,150000.0
2021,2,data scientist,4 years at company,montreal,95k$,oil and gas,bachelor in mechanical engineering,none,n/a,10%,,,4.0,montreal,95k$,95000.0,USD,1.0,95000.0
2021,2,data scientist,2 years,sf/bay area,$187k + bonus,"startup, tech.",none.  i got in before the ds title was used in silicon valley.,11 years,$coop:  no.,"relocation/signing bonus:  no, but they tend to do that here.",,,2.0,"bay area, us",$187k + bonus,187000.0,USD,1.0,187000.0
2021,2,senior data scientist applied scientist,offer,nyc,175k,e-commerce,"bs, ms in math/stats",3 yoe,"stock and/or recurring bonuses: 10% target bonus, 400k/4 years",total comp: 292k,,,,"new york, us",175k,175000.0,USD,1.0,175000.0
2021,2,vp of data science,"6 years: 1 @ vp, 2 @ director, 2 @ manager, 1 @ data scientist",boston area. wfh optional. i go in 1-2 days/week.,"$200k base, $40k bonus target","marketing agency, ~500 people",phd in stem field. ba in physics.,"postdoc related to phd, then insight data science",none,stock: equity bonus equivalent to about 10% of salary yearly,~$260k,,6.0,"boston, us",$200k ,200000.0,USD,1.0,200000.0
2021,2,data analyst,accepting in a couple of days,"london, uk",50k gbp,fintech,bsc maths with stats,2 years data analyst,"bonus:  up to 15%, typically 10% apparently",,,,,"london, uk",50k gbp,50000.0,GBP,0.8326305514885309,60050.643002004625
2021,2,data scientist,3 years,midwest but i wfh,$88.5k,healthcare,"b.s. physics, working on m.s. computer science",academic researcher,-,"private company, no bonuses",$88.5k + full tuition assistance,,3.0,"midwest, us",$88.5k,88500.0,USD,1.0,88500.0
2021,2,solutions architect,6 months,wfh,"$160,000",consulting,"masters in business intelligence, undergrad in economics with a concentration in computer science",3 years with telecommunications company,$5k,qtrly bonus- 20% of my salary during that period ~$8k qterly = $32k annual,$192k,,0.5,remote,"$160,000",160000.0,USD,1.0,160000.0
2021,2,ds quant,1.5 years,washington dc,$150k,finance,ms ds,no industry experience.,stock and/or recurring bonuses:,total comp: $190k,,,1.5,"washington dc, us",$150k,150000.0,USD,1.0,150000.0
2021,2,staff swe machine learning,6 months,sf bay area,$300k,tech,phd,"5yrs postdoc, 4yrs industry",0,~$500k,~$800k,,0.5,"bay area, us",$300k,300000.0,USD,1.0,300000.0
2021,2,product analyst,2 mo,"seattle, wa",$125k,fintech unicorn,,1½ yoe at another fintech unicorn as an analyst,0,"$300k over 4 years, no bonuses",$200k  however fluctuates with stock value.,,0.16666666666666666,"seattle, us",$125k,125000.0,USD,1.0,125000.0
2021,2,date engineer,9 months,"manchester, uk","£44,000",finance,masters,3 years consultancy,$internship,$coop,relocation/signing bonus:  0,,0.75,uk,"£44,000",44000.0,GBP,0.8326305514885309,52844.565841764066
2021,2,data analyst,1year +,singapore,"$40,320",bank,bsc finance & economy,fresh grad,,,,,1.0,singapore,"$40,320",40320.0,USD,1.0,40320.0
2021,2,product data scientist,2 years,toronto,"$113,000 cad",fin tech,ba sociology,joined current employer through acquihire,,,"~$173,000 cad",,2.0,"toronto, canada","$113,000 cad",113000.0,CAD,1.2946803318692046,87280.23220747888
2021,2,head of <program related to data science>,6 yoe in tech + 2 in a startup in a pseudo technical role,"upper midwest, usa, medium cost of living city",$150k,500-employee saas company,master's in computer science,technical product manager at a startup,n/a,"profit sharing $0-22,500. probably $15-22.5k this year.",,,6.0,"midwest, us",$150k,150000.0,USD,1.0,150000.0
2021,2,data analyst,1yr,south carolina,$70k,secured loan financing,bs data science,"n/a, first job after undergrad",n/a,"depends, ~$500",,,1.0,"south carolina, us",$70k,70000.0,USD,1.0,70000.0
2021,2,hpc systems engineer i build the stuff your science runs on i have been an infrastructure architect in past lives,less than a year,"ny-based, remote. i never actually go in.","$186,000",healthcare ai startup,college dropout,about 10 years at fortune 50s prior,"$7,500","15,000 options. 25% target bonus",$247.5k,,,"new york, us","$186,000",186000.0,USD,1.0,186000.0
2021,2,economist senior data scientist,3 months,"london, uk","£84,000",american well-known  tech firm,"msc economics, msc data science",2 yoe in econ research in america,"signing bonus: £5,000",stock and/or reoccurring bonuses: ~2k  stock - didn’t push very hard on this cause taxes on stocks are a nightmare for americans living abroad,"~£9k bonus, paid twice yearly",,0.25,"london, uk","£84,000",84000.0,GBP,0.8326305514885309,100885.08024336776
2021,2,data science research assistant,2 months,north of spain,15k€,university,currently involved on a degree,"4 months, same position, other laboratory",total comp: none lol,,,,0.16666666666666666,spain,15k€,15000.0,EUR,0.9760858955588092,15367.5
2021,2,senior director,<1 year,remote,$250k,tech,phd in engineering,8 years,$15k,$100k,$350k,,1.0,remote,$250k,250000.0,USD,1.0,250000.0
2021,2,quantitative ux researcher,5 years,sf bay area/nyc,$160k,google,b.s. mathematics,n/a,"stock and/or recurring bonuses: $30k bonus, $110k rsus",total comp: $300k,"low to medium stress job, average 40 hours a week.",predominately use r and sql in my role.,5.0,"new york, us",$160k,160000.0,USD,1.0,160000.0
2021,2,data scientist,3 years,london,"₤75,000",legal tech,msc,4x ds internships,₤3000 relocation,,"₤85,000",,3.0,"london, uk","₤75,000",75000.0,USD,1.0,75000.0
2021,2,senior data scientist,-  2 years,"-  cambridge, u.k.",-  60k,-  tech,"-  phd physics, mphys",-   research fellow at cern,- bonus: 3%,- stock: £45k vesting schedule over 3 years,"-  £76,800",edited for correction,2.0,uk,-  60k,60000.0,USD,1.0,60000.0
2021,2,senior data scientist,4+ years,"houston, tx","$155,000",mid-size tech company,master's in applied statistics,2+ years actuarial experience,"$15,000 signing bonus",20% annual bonus,"$200,000",,4.0,"texas, us","$155,000",155000.0,USD,1.0,155000.0
2021,2,senior data scientist,13+ years,sf bay area,base  225k,faang,ms in industrial engg,signon: 100k,stock: 500k,bonus: 10%,425k,,13.0,"bay area, us",  225k,225000.0,USD,1.0,225000.0
