date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2020,senior engineering lead,8years,usa/canada,$155k,oil and gas,bachelors in engineering,8.0,Non-US,155000.0,"Oil, gas & mining",Bachelor's
2020,data scientist,1.5 years,kansas city metro,"$89,300",large tech company,ms applied statistics,1.5,Midwest,89300.0,Tech,Master's
2020,staff data scientist,2 years,d.c. metro,"$120,000",defense,m.s in geoinformatics; working on phd,2.0,Northeast,120000.0,Government,PhD
2020,modeling analyst,6mo,dc,"$70,000",insurance,bs in management  from a top undergrad business school,0.5,Northeast,70000.0,Finance,Master's
2020,senior data engineer,6 months,remote/west coast,"$140,000",consulting,ms/mba - ivy league,0.5,West coast,140000.0,Professional services,Master's
2020,associate finance manager data science,11 months,new jersey,"93,000",cpg/financial planning & analysis,ms in data science,0.9166666666666666,Northeast,93000.0,Manufacturing,Master's
2020,data scientist intern,1 year,brussels,1400,small pharmaceutical,master,1.0,Unspecified,,Healthcare,Master's
2020,insights consultant,2 years,new jersey. united states of america.,"$150,000 + ~7% bonus",market research,masters,2.0,Northeast,150000.0,Professional services,Master's
2020,lead data scientist,3 yrs,chicago,"120,000",small consultancy,"ba, ma",3.0,Midwest,120000.0,Professional services,Master's
2020,data scientist, ~ 6 months,"cambridge, ma","$118,000",company /  tech start up,ba from an lac in math,0.5,Non-US,118000.0,Tech,Master's
2020,data scientist,"almost 2 years in this position, 1 year as a data analyst at a previous company",nyc,110k,company/  content,masters,,Northeast,110000.0,,Master's
2020,machine learning engineer,1 year,"minsk, belarus",33k,e-commerce,ms in applied maths,1.0,Unspecified,33000.0,Retail & e-commerce,Master's
2020,senior quantitative modeling analyst,2 years,dc,"$125,000",banking,bs in computer science,2.0,Northeast,125000.0,Finance,Bachelor's
2020,senior principal data scientist,2.5 years,upper midwest,"$160,000",healthcare,msc in palaeoeconomics,2.5,Midwest,160000.0,Healthcare,Master's
2020,data analyst,2yrs,denver,"$67,000",travel,bachelors,2.0,West coast,67000.0,Transport & Logistics,Bachelor's
2020,data scientist,< 6 months,germany,55k€,e-commerce,msc information system,0.5,Non-US,56347.5,Retail & e-commerce,Master's
2019,machine learning engineer,1year,seattle,$295k,saas,ms,1.0,West coast,295000.0,Tech,Master's
2019,manager data analytics science,1yr,pennsylvania lcol area,"$160,000",utility,bs risk analytics | ms data science,1.0,Northeast,160000.0,Other industry,Master's
2019,data engineer,1.5 years,down under,$119k,media,bachelors,1.5,Non-US,119000.0,Other industry,Bachelor's
2019,data analyst,1.5 yeaers,atlanta,$60k,the home depot/retail,"bs: accounting, graduate 2020",1.5,Southeast,60000.0,Retail & e-commerce,Bachelor's
2019,marketing manager,2 years,socal,$128k,healthcare,"bs, business",2.0,West coast,128000.0,Healthcare,Bachelor's
2019,data analyst,10 months,germany,"$64,5k",medtech,econ phd,0.8333333333333334,Non-US,64500.0,Healthcare,PhD
2019,data analyst,start date set in september,nj,"$84,000",consumer packaged goods,2 b.s. data science & applied statistics,,Northeast,84000.0,Manufacturing,Bachelor's
2021,senior data scientist lead,8 years,st louis,"$137,500",large corporation in biotech/agrotech,phd,8.0,Midwest,137500.0,Tech,PhD
2021,data scientist,"4 month internship, 4 months current role","vancouver, bc",$90k,mid-size non tech,"phd, physics",0.3333333333333333,Non-US,90000.0,Manufacturing,PhD
2021,senior staff data scientist,3 years.,"was in the bay area, now fully remote in a mcol area","$240,000","tech, not faang","ms in mathematics, dropped out of a phd program after masters",3.0,West coast,240000.0,Tech,PhD
2021,data scientist,just accepted,illinois,"100k, 14% bonus",caterpillar,"marketing undergrad, mba, self taught analytics and stats",,Midwest,100000.0,Manufacturing,Master's
