date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2019,senior data scientist,"4 years in industry, 7 in academia with ml / large data volume / optimization exerience",sf bay,$475k base,tech (already easy enough to identify me and anyone that knows typical pay structures in the bay can guess the company,phd in stem,4.0,West coast,475000.0,Tech,PhD
2019,senior data scientist,1.5 years,remote: i live in the midwest and the salary is adjusted for location,"$127,000",tech,m.a. economics,1.5,Midwest,127000.0,Tech,Master's
2019,data analyst,0.5 years,philippines,usd 15000 per year,portofolio analytics and indices,bs applied mathematics,0.5,Non-US,15000.0,Professional services,Master's
2019,senior data scientist,1 month,remote,"$165,000",ad tech,"phd, cs",0.08333333333333333,Non-US,165000.0,Professional services,PhD
2019,data scientist,2 years,netherlands,"59,000 eur",travel,mechanical engineering,2.0,Non-US,60445.5,Transport & Logistics,High School
2019,algorithm developer mostly do modeling work for cyberphysical systems,3years,austin tx,$160000,oil/gas,"ms compe, bs cs",3.0,Southwest,160000.0,"Oil, gas & mining",Master's
2019,biostatistician data scientist,6 months,miami/ft. lauderdale,52.5k,clinical research organization,b.s. statistics,0.5,Southeast,52500.0,Healthcare,Bachelor's
2019,data scientist,2yrs,houston,"$136,000",oil and gas,masters in applied statistics,2.0,Unspecified,136000.0,"Oil, gas & mining",Master's
2019,data scientist,1 year,midwest,"83,000",fortune 100,ms statistics,1.0,Midwest,83000.0,Manufacturing,Master's
2019,data scientist,1.5 years,bay area,$155k,fb,phd in engineering,1.5,West coast,155000.0,Big Tech (FAANG),PhD
2019,data scientist,2.5 yrs,"irving, tx",130k,entertainment,"msc psychology, msc data science",2.5,Southwest,130000.0,Other industry,Master's
2019,data scientist,< 1 yr,nyc,165k,"healthtech, reinforcement learning",bachelor's,1.0,Northeast,165000.0,Healthcare,Bachelor's
2019,senior data scientist,been here 1 month,la,160k,tech,bs engineering/ ms in ds,,West coast,160000.0,Tech,Master's
2019,data scientist,"3 months in current role, 2 years as data analyst",st. louis,"~$95,000",healthcare,masters,0.25,Midwest,95000.0,Healthcare,Master's
2019,data scientist,starting spring 2020,seattle,"118,000",big tech company,"bs in cs, data science. completing ms in cs",,West coast,118000.0,Tech,Master's
2019,senior business intelligence analyst,4 months,riverside county,"$88,000",beverage/cpg,"bs pure mathematics, ms applied mathematics",0.3333333333333333,Non-US,88000.0,Manufacturing,Master's
2019,senior data scientist,2.5,denver metro,"$151,000",internet/web tech,ms,2.5,West coast,151000.0,Tech,Master's
2019,data scientist,1.5 years,san francisco,187k,fb,phd,1.5,West coast,187000.0,Big Tech (FAANG),PhD
2019,director of data science,"6 months at current company, 6.5 years post phd experience","houston, tx",200k,"small company, very niche segment in the entertainment space",phd in engineering,0.5,Southwest,200000.0,Other industry,PhD
2019,data scientist, 1.5 yrs,chicago,$110k,tech startup,phd,1.5,Midwest,110000.0,Tech,PhD
2019,junior data scientist,1.25 years,central europe,$800-900/mo,big 4,"bs in finance, finishing msc in financial engineering",1.25,Non-US,10200.0,Professional services,Master's
2019,director,** 5 years,** san francisco,** 185k,** financial services,** masters,5.0,West coast,185000.0,Finance,Master's
2019,data analyst ii,3 years,dallas,"$85,000",pharmaceutical distribution,something worse than a liberal arts degree,3.0,Southwest,85000.0,Healthcare,High School
2019,data scientist,just started,nyc,175k,generic tech startup,ms,,Northeast,175000.0,Tech,Master's
2019,director data science,~5 years,nyc,$230k,tech,phd,5.0,Northeast,230000.0,Tech,PhD
2019,data analyst,13 months,sacramento,"~$54,000",academia,b.s.,1.0833333333333333,West coast,54000.0,Education,Bachelor's
2019,data analytics manager,"4mo as manager, 11mo as data analyst",sf bay area,"$105,000","energy startup, ~80 employees.","ba from canadian university, 6 month ds bootcamp.",0.3333333333333333,West coast,105000.0,Tech,Bachelor's
2019,data scientist people analytics human capital,4 months,greater nyc,"$145,000",fortune 50 - global tech company/ hr analytics,,0.3333333333333333,Northeast,145000.0,Tech,
2019,senior data scientist,6 years,large midwestern city,"$121,000",large corporation in biotech/agrotech,phd,6.0,West coast,121000.0,Tech,PhD
2019,business data analyst,1.5 years,virginia,"$51,000",dsd logistics,ma,1.5,Southeast,51000.0,Transport & Logistics,Master's
2019,senior analytics consultant,2+yrs,canada,cad 80-85k,consulting,economics ba,2.0,Non-US,63722.29342581423,Professional services,Bachelor's
2019,data scientist,2 years,north carolina,$100k,healthcare,ms,2.0,Southeast,100000.0,Healthcare,Master's
2019,head scientist,6 months,sf bay area,$120k,tech startup,phd,0.5,West coast,120000.0,Tech,PhD
2019,data scientist i,1 year,east coast city,$95k,nonprofit,ms business analytics,1.0,Northeast,95000.0,Other industry,Master's
2019,data analyst,1 year,chicago,$60k,marketing,bachelors in mech eng from an ivy,1.0,Midwest,60000.0,Professional services,Bachelor's
2019,analytics manager,1 year,seattle,$110k,tech,math undergrad degree,1.0,West coast,110000.0,Tech,Master's
2019,data scientist, 1 year,"bay area, ca","$450,000",internet media,berkeley physics phd,1.0,West coast,450000.0,Other industry,PhD
2019,reporting analyst,2 yr,chattanooga tn,"~$58,000",insurance,"b.s. , just started ms analytics",2.0,Southeast,58000.0,Finance,Master's
2019,senior data scientist,1.5 years,bay area,$180k,tech,ba economics,1.5,West coast,180000.0,Tech,Bachelor's
2019,senior analyst, 6mo,seattle,85k,company: academia/public health,phd,0.5,West coast,85000.0,Education,PhD
2019,product analyst,years of experience: 7,sf/bay area,base  $170k,tech,phd,,West coast,170000.0,Tech,PhD
2019,data scientist,just started in october 2019,sf bay area,$120k,tech,ms,,West coast,120000.0,Tech,Master's
2019,data scientist,1 year,south florida,80k,b2b logistics,ms econ in usa,1.0,Southeast,80000.0,Transport & Logistics,Master's
2019,senior consultant data scientist,1 year,nova/dc,"$115,000",technology consulting,"b.s, mechanical engineering",1.0,Northeast,115000.0,Professional services,Bachelor's
2019,research investigator,1.2 years,greater philly area,"117,000",top 10 pharmaceutical company,"ph.d. bioinformatics, bs computer science",1.2,Northeast,117000.0,Healthcare,PhD
2019,bi analyst,~1 years,chicago,48k,logistics & supply chain,bs,1.0,Midwest,48000.0,Transport & Logistics,Bachelor's
2019,data scientist,1 year,nyc,80k,fintech,ba econ,1.0,Northeast,80000.0,Tech,Bachelor's
2019,researcher,~5 years,nyc,$200k,tech,master's,5.0,Northeast,200000.0,Tech,Master's
2019,lead data engineer,< 1yr,toronto,130k,banking,some college,1.0,Non-US,130000.0,Finance,High School
2019,business analyst i,6 months,chicago,"$59,000",large tech company,"ba , self-taught sql/python",0.5,Midwest,59000.0,Tech,Bachelor's
2019,senior data scientist,~1 year,washington dc,121k,finance,phd,1.0,Northeast,121000.0,Finance,PhD
2019,data analyst,2.5 years,"austin, tx","$96,000",ecommerce software,"liberal arts master's degree, also a night bootcamp",2.5,Southwest,96000.0,Tech,Master's
2019,data scientist,4 years,boonies,"100,400",finance,masters in statistics,4.0,Non-US,100400.0,Finance,Master's
2019,data scientist,haven't started yet,"austin, tx",$65k,large automaker,b.s. comp sci,,Southwest,65000.0,Manufacturing,Bachelor's
2019,marketing coordinator,~5 years,ohio,$30k,multifamily housing,bfa ballet and bs political science,5.0,Midwest,30000.0,Other industry,Bachelor's
2019,senior data scientist,8 months,denver,"$130,000",,phd,0.6666666666666666,West coast,130000.0,,PhD
2019,senior systems analyst,"about 6 months full-time, before that was part-time as i finished my ms",boston,95k,finance,"undergrad math, ms applied statistics",0.5,Northeast,95000.0,Finance,Master's
